2019-03-01,281130,1.5687297691459468
2019-03-02,251510,1.6417876028786131
2019-03-03,221835,1.6218315414609958
2019-03-04,208014,1.5524916592152451
2019-03-05,267813,1.5430430935018091
2019-03-06,285217,1.5435931238320297
2019-03-07,291094,1.5432643750815889
2019-03-08,284832,1.5617030389843838
2019-03-09,271220,1.6518361477767127
2019-03-10,228375,1.6267148330596606
2019-03-11,235453,1.5417089610240684
2019-03-12,266903,1.542170751171774
2019-03-13,270372,1.5372486795969997
2019-03-14,279092,1.5367513221446691
2019-03-15,284471,1.5649257745077705
2019-03-16,269809,1.6473579458061074
2019-03-17,224962,1.627594882691299
2019-03-18,221901,1.542512201387105
2019-03-19,237980,1.5434700394991177
2019-03-20,250056,1.5421705537959498
2019-03-21,274051,1.5466537250365808
2019-03-22,271417,1.5585059152521765
2019-03-23,254520,1.6444130127298444
2019-03-24,209083,1.627506779604272
2019-03-25,211676,1.5445397683251763
2019-03-26,239843,1.5388274829784483
2019-03-27,250588,1.5407800852395166
2019-03-28,260131,1.5439951409097723
2019-03-29,256625,1.560159766195811
2019-03-30,249647,1.6478227256886724
2019-03-31,222576,1.6267342390913666
2019-04-01,232907,1.5324271060981423
2019-04-02,257397,1.5367234272349717
2019-04-03,263615,1.5281224513020883
2019-04-04,277094,1.539271871639227
2019-04-05,292590,1.5580402611162378
2019-04-06,260740,1.6486269847357522
2019-04-07,223084,1.6196275842283625
2019-04-08,228787,1.5399826039066904
2019-04-09,260369,1.53510978649532
2019-04-10,261333,1.5325465976359665
2019-04-11,274404,1.5348282095013193
2019-04-12,280048,1.5575222818945325
2019-04-13,262799,1.638328151933607
2019-04-14,224392,1.6391136938928303
2019-04-15,247308,1.5628527989389749
2019-04-16,254442,1.552341987564946
2019-04-17,265635,1.5502701074783067
2019-04-18,267154,1.5614140158859684
2019-04-19,242018,1.6072771446751895
2019-04-20,211218,1.665161113162704
2019-04-21,185306,1.6644253289154156
2019-04-22,211942,1.5577658038519973
2019-04-23,234862,1.5639992846863264
2019-04-24,241933,1.554856096522591
2019-04-25,266326,1.5515571142134077
2019-04-26,251711,1.5735188370790312
2019-04-27,251023,1.6529800058162
2019-04-28,220862,1.6339524227798354
2019-04-29,228245,1.5291024995071085
2019-04-30,253569,1.5382243097539525
2019-05-01,269210,1.5361427881579437
2019-05-02,277491,1.544882536730921
2019-05-03,275523,1.564747770603543
2019-05-04,265668,1.6449478296219342
2019-05-05,236852,1.619707665546417
2019-05-06,227507,1.5426865986541074
2019-05-07,250824,1.5399204222881382
2019-05-08,257220,1.5324469325868906
2019-05-09,270966,1.5315722267738388
2019-05-10,265638,1.5505951708716375
2019-05-11,252414,1.639005760377792
2019-05-12,225367,1.6239023459512707
2019-05-13,242077,1.5232054263726005
2019-05-14,260209,1.5331329815648191
2019-05-15,257136,1.5375676684711592
2019-05-16,262637,1.5391776482369202
2019-05-17,271174,1.5597181145685057
2019-05-18,256012,1.642329265815665
2019-05-19,222149,1.6184542806854858
2019-05-20,238023,1.5456447486167304
2019-05-21,254202,1.5441932006829215
2019-05-22,260964,1.5486848760748608
2019-05-23,257808,1.5433849996896916
2019-05-24,227324,1.578720240713695
2019-05-25,184970,1.6743742228469483
2019-05-26,164392,1.6754586597887975
2019-05-27,146068,1.6394624421502313
2019-05-28,224454,1.5378073012733122
2019-05-29,245097,1.5452412718229924
2019-05-30,257272,1.5410382785534376
2019-05-31,258675,1.5646738184981155
2019-06-01,244914,1.6362029120425945
2019-06-02,209394,1.6227446822736087
2019-06-03,227673,1.5436569114475585
2019-06-04,227929,1.4915214825669396
2019-06-05,253309,1.5332577997623456
2019-06-06,261778,1.5446943593426492
2019-06-07,250221,1.5663233701407955
2019-06-08,229466,1.6446445225000654
2019-06-09,190194,1.6268862319526378
2019-06-10,221211,1.5410309613898043
2019-06-11,239921,1.5394650739201654
2019-06-12,251903,1.538330230287055
2019-06-13,262813,1.5410539052482184
2019-06-14,242522,1.5572978946239928
2019-06-15,221153,1.6404299286014659
2019-06-16,187956,1.6229702696375747
2019-06-17,215627,1.5352993827303631
2019-06-18,242304,1.535872292657158
2019-06-19,246680,1.5352359331928005
2019-06-20,255082,1.5312213327479007
2019-06-21,248782,1.5669421421163912
2019-06-22,221070,1.635260324784005
2019-06-23,200305,1.626220014477921
2019-06-24,218503,1.5331826107650697
2019-06-25,241480,1.531294517144277
2019-06-26,249641,1.5251981845930758
2019-06-27,253765,1.5306681378440683
2019-06-28,242109,1.555708379283711
2019-06-29,216025,1.6342923272769356
2019-06-30,166871,1.6364557053052957
